"filename", "language", "Markdown", "YAML", "TypeScript React", "Shell Script", "TypeScript", "XML", "CSS", "HTML", "JSON", "JSON with Comments", "JavaScript", "comment", "blank", "total"
"/home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/routes/user.routes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 226, 57, 14, 297
"/home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/utils/generateRandomPassword.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 2, 19
"/home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/utils/mongoId.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
"/home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/utils/passwordHash.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 4, 27
"/home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/utils/tokens.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 3, 27
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 164
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/.prettierrc.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 12
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 46
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/pnpm-lock.yaml", "YAML", 0, 2404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 359, 2763
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/postcss.config.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/public/vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/App.tsx", "TypeScript React", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/api/index.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
